job_title,company,address,job_type,seniority,categories,salary_from,salary_to,salary_type,description,url
Business Development Manager,KKT TECHNOLOGY PTE. LTD.,71 AYER RAJAH CRESCENT 139951,Full Time,"Manager, Professional, Senior Executive","Healthcare / Pharmaceutical, General Management","$4,000","$7,000",Monthly,"Roles & ResponsibilitiesAt Holmusk, our mission is to help solve the world’s biggest healthcare challenge - Chronic Disease. We use technology and data science to accelerate research and improve the health of people with chronic conditions. Our expertise is in healthcare data analytics and digital therapeutics, which are going to be the key solution in managing the chronic disease epidemic the world is facing. Our flagship digital therapeutic is GlycoLeap (https://glycoleap.com), a scalable, effective & engaging digital programme for people with prediabetes, diabetes and other chronic conditions. Our vision is to improve the lives and health of over a million people over the next 5 years. We are looking for a passionate business development manager with a strong drive to succeed and make a difference to the world. Your mission is to generate sales for our digital therapeutics in Singapore and the region. Our typical clients include employers/large corporates, insurers and pharma. You will be involved in all aspects of the decision making process around business development – client contact, acquisition, management etc. Come join a diverse and collaborative team of engineers, designers, data scientists, health professionals and business executives that is passionate about improving healthcare   Responsibilities  Proactively identify new business opportunities, customers and source for new clients for our digital therapeutics Arrange and lead meetings with potential and existing clients (employers/large corporates, insurers and pharma) Generation of proposals for new business, based on client needs. Manage the end-to-end process to drive closing of deals Build a strong relationship with new and existing customers and maintain a high level of customer satisfaction Guide and oversee execution of client projects, together with the rest of the teams. Requirements Minimum 3 - 5 years of relevant working experience in a business development or sales role Results-oriented, with a proven track record of achieving targets. Experience with establishing, maintaining and leveraging relationships with senior leaders in large organisations. Able to close deals independently. Strong verbal and written communication skills, and a passion for building new relationships Able to learn quickly and adapt fast in a startup environment, willing to get your hands dirty to get the tasks done Prior experience working in the healthcare / employee benefits / insurance industry is a strong plus ",https://www.mycareersfuture.sg/job/business-development-manager-kkt-technology-8ef0a4e6fbea045f7a4a661b723e8455
SIS Faculty - Assistant Professor of Information Systems (Tenure Track) IS,SINGAPORE MANAGEMENT UNIVERSITY,81 VICTORIA STREET 188065,Full Time,Professional,Education and Training,"$9,000","$15,000",Monthly,"Roles & ResponsibilitiesOUR CORE RESEARCH AREAS - Artificial Intelligence & Cognitive Systems, including machine intelligence; intelligent assistants; intelligence augmentation; data mining and machine learning; deep learning; learning and adaptation; cognitive computing and decision support systems; human-in-the-loop artificial intelligence. - Data Science & Engineering, including natural language processing; data visualization and analytics; social sensing and activation. - Intelligent Systems & Optimization, including large-scale optimization and meta-heuristics; economic paradigms (game theory, mechanism design, electronic markets); agent modeling and simulation; agent planning, scheduling and decision support; agent learning and adaptation. - Cybersecurity, including decentralized/distributed trusted systems; biometrics; computer forensics; data, media content and related applications security and privacy; software and system security; information security and usability; information security economics and risk analysis, modeling & metrics. - Cyber-Physical Systems, including sensing & sensor information processing; IoT and embedded systems; mobile and pervasive systems; context-aware computing platforms. - Software Systems, including IoT and mobile OS; low-power OS; cloud engineering; autonomous systems; multi-robot collaboration. - Human-computer interaction, including human-robot interaction; remote collaboration and wearable interfaces. - Multimedia, including computer vision; multimedia search; augmented reality; virtual reality; image/video processing; audio/speech processing. - Information Systems Management, including economics of IT and management science; empirical methods, econometrics, and policy analytics; sharing economy and IT platforms; digitalization and process transformation; fintech; marketing and healthcare IT; information security, technology innovation and IT impacts; interdisciplinary studies across the core areas.   OUR INTEGRATIVE RESEARCH DOMAINS - Urban Systems & Operations - Active Citizenry & Communities - Safety & Security - Health & Wellness - Technology for Learning & Pedagogy   While we encourage and nurture applied research addressing real-world problems, we simultaneously cultivate and value big ideas, and research that is intellectually deep and thought provoking. Our faculty thus target their academic output primarily in the most-selective, academically prestigious venues. We want our faculty striving to create research outputs that advance thinking and scholarship in the core research areas, and also seeking real-world impact in the integrative research domains in “the world of business”. We offer extremely attractive salary and benefits that are usually superior to international competitive benchmarks.RequirementsWe are continuously on the lookout for outstanding faculty candidates at all levels:   - Fresh Ph.D.s - Postdocs looking for a faculty position - Ph.D.s who are currently in industry but want to return to faculty and research work - Mid-career or senior faculty   We strategically hire to build critical mass and innovative capability in our core research areas and integrative reseIS)arch domains. Moreover, we are launching a new Computer Science degree from 2019, and are thus looking to significantly augment our faculty expertise in several key new areas.   Interested candidates are invited to submit a cover letter, curriculum vitae, research and teaching statements, contact details of 3 referees, and three samples of published work to:   SMU Faculty Recruitment System Please check ""School of Information Systems"" under Organisation. https://smucareers.taleo.net/careersection/smu_ext_ft/jobsearch.ftl ",https://www.mycareersfuture.sg/job/sis-faculty-assistant-professor-information-systems-singapore-management-university-70107bf08e289b0341571a4afa3d7056
Delivery Lead – Singapore (PACE Analytics),RIO TINTO SINGAPORE HOLDINGS PTE. LTD.,,Permanent,Manager,Information Technology,"$13,000","$17,000",Monthly,"Roles & ResponsibilitiesDelivery Lead – Singapore (PACE Analytics)   Great opportunity to work with a global and diverse team Strong visibility and engagement with the key stakeholders  Team leadership position  Based in Singapore, our global commercial hub     About the role We are looking for a Delivery Lead – Singapore (PACE Analytics) to ensure that quality and timely products are delivered by PACE Analytics to the Commercial organisation, and to work with the PACE analytics delivery managers and project lead, consulting leaders and client leader to diagnose, scope, shape and deliver outstanding data analytics applications that solve complex business problems and impact the performance and effectiveness of business units. This role is a great opportunity for a progressive and analytical professional to lead a high performing matrix team and contribute to the development of value creation opportunities within Rio Tinto. Reporting to the Senior Director – PACE Analytics, you wil:  Develop and maintain relationships with the key Commercial customers to ensure the projects prioritized are aligned with the Commercial organisation. Work with PACE leaders as well as directly with clients and supporting teams to identify, diagnose and solve critical problems with expertise in the fields of data science and data engineering. This includes adapting PACE’s products as needed to work more effectively with the client’s systems. Coach PACE leaders and key clients on the new fields of data analytics, building a competence through the team in data, data-based decision making, analytics methodologies and problem solving approaches. Support the setup, establishment and ongoing improvement of PACE Analytics Maintain and deliver data analytics resources for PACE initiatives, including: 	 Working with the client leaders to understand their business engagements and the need for advanced analytics Working with consulting leaders in delivering the required technical resources to deliver decision support tools and advanced analytics to solve complex problems Working with and influencing IS&T and other functions to develop the technology required to support the needs of the business for analytics. Understanding and resourcing the portfolio of analytics projects for Commercial   Maintain and deliver excellence in knowledge management for analytics tools development through the use of collaboration tools and industry standard project documentation approaches Ensure adoption of tools delivered through PACE analytics, building a competence in the quality of tools as well as the ability to change internal business processes in business units globally. RequirementsAbout you To be successfully considered for this role, you will have:  Tertiary qualified in Engineering, Business or other relevant field At least 10 years of progressive experience in moving from execution to strategic levels    Experience in data analytics applications delivery Demonstrated ability to bring together diverse range of operational and technical skills, build a high performing team and deliver outstanding results Demonstrated capability in building solutions to problems Leadership experience in managing direct and indirect project teams. Demonstrated experience in project management, and working through a global networked organization in achieving results. Effective influencing skills when engaging with senior leaders internally and externally Ability to multitask, prioritise and organise a number of concurrent projects under tight timeframes    It will also be beneficial if you have:   Knowledge of commercial and logistics business, specifically for commodities is an asset Additional qualifications in MBA    Where you will be working PACE Consulting is a new internal management consultancy embedded within Rio Tinto’s Growth and Innovation (G&I) group. It will comprise a team of management consultants, focused on working with each part of the business on opportunities that will deliver the highest possible value. Rio Tinto is establishing PACE to support the business in many areas where it has previously sought external management consulting expertise. PACE’s imperative is to support clients in identifying their top value levers through an end-to-end diagnostic; a sophisticated, quality analysis that is data-driven and uses value analytics, benchmarking and forecasting to identify key areas of focus and opportunity. Between now and the end of 2017 the team working to establish PACE Consulting will focus on designing and creating the services, tools and methods to be used to support all parts of the business to maximise value.   About us As pioneers in mining and metals, we produce materials essential to human progress. Our long history is filled with firsts. We’ve developed some of the world’s largest and best quality mines and operations, and our people work in around 35 countries across six continents. Aluminium and copper, diamonds, gold and industrial minerals, iron ore, coal and uranium: our materials make up the world around us. You’ll find then in smartphones, planes, cars, hospitals and throughout your home.   Creating an inclusive and diverse workforce We are a diverse team of talented, enthusiastic individuals who foster a culture of inclusion. No matter how they may differ, our people share one thing in common. It’s a belief that work is more rewarding when we are accepted and valued for our differences, not judged by them. We all have something to contribute, and it’s this contribution that makes for a great organization and fulfilling career. Apply before 12th Nov 2018 if you want to work with the latest technology and innovation, in an environment where we challenge you to drive positive change. Please note, in order to be successfully considered for a role you must complete all pre-screening questions.  ",https://www.mycareersfuture.sg/job/delivery-lead-%E2%80%93-singapore-rio-tinto-singapore-holdings-9f99c3b67c5eabc67a1e474e758f3215
IT Scrum Master,Company Undisclosed,,Full Time,Professional,Information Technology,"$7,000","$12,000",Monthly,"Roles & Responsibilities There will be a few projects on-going at any one time with 10 FTEs and 5-10 data engineering consultants, involving NLP, ML (Machine Learning), AI (Artificial Intelligence), NN Experience of working with Advanced Analytics or Data Science teams and projects Requirements Must be Scrum Master certified Experience as a Project/Programme Manager and Scrum Master working on Infrastructure and Application development projects Demonstrated technical expertise in AI, Machine Learning, and data processing Experience with applied mathematics techniques including Data Mining, Statistical Analysis, Predictive Modelling, Algorithm Development Experience with GCP, AWS tech stack (Spark, Hadoop), and related Big Data Technologies Breadth of knowledge across statistical methods and machine learning algorithms Confidence, enthusiasm, and drive, flexible and willing to adapt to the changing requirements of a dynamic industry Exceptional communication & customer interaction skills Proven successful experience of delivering projects end-to-end from discovery to production of Machine Learning and predictive models Commercial awareness of financial products, as well as the unique challenges faced in the financial sector, is highly desirable Excellent communication and presentation skills, with the ability to interact with clients and internal stakeholders Ideally experience contributing to professional communities as a speaker, author or online contributor Consultative skills, able to communicate complicated technical and analytical information to non-technical audiences ",https://www.mycareersfuture.sg/job/scrum-master-c73d5c3ade753f4cf2312c09a2da5f10
"Data Science Manager, APAC",AIRBNB SINGAPORE PRIVATE LIMITED,158 CECIL STREET 069545,Full Time,Manager,Sciences / Laboratory / R&D,"$11,000","$20,000",Monthly,"Roles & ResponsibilitiesAirbnb is a global platform that connects travelers and hosts from over 81,000 cities. Our mission is to enable a world where anyone can belong anywhere. Using data to help ensure a world class experience for our users is critical to our mission. As our business expands, we are seeking an experienced leader to guide our data initiatives in the APAC region. In this role, you will partner with our APAC leadership team to ensure that our regional strategy is data-informed. You will have tremendous scope to work with partners from operations, marketing, product, sales, and finance, as well other data scientists to drive the strategy of this fast-growing region. If you are passionate about leveraging data to drive business decisions, we want to hear from you! Responsibilities include, but are not limited to:  Ensuring consistent and reliable data access across countries in the region Performing deep dives into business performance Partnering with and supporting other data teams (esp in SF) on their  APAC-related deep dives Proactively identifying and sizing business opportunities and growth drivers Training and mentoring other data scientists and analysts in the region -- at scale (as many will not be in the same physical location) Partnering with the APAC leadership team to drive strategy       RequirementsRequirements  6+ years industry experience and a Master's degree in a quantitative field; PhD a plus 3+ years of management experience, with proven ability to succeed in both collaborative and independent work environments A “business owner” mindset, with a keen interest in strategy and operations Strong written and verbal communication Fluency in the core toolkit of Data Science:     R/Python; SQL/Hive Manipulating large-scale data sets Building data pipelines Descriptive and predictive modeling Implementing visualizations, dashboards, and reports   ",https://www.mycareersfuture.sg/job/data-science-manager-apac-airbnb-singapore-35bc1c98e76b9b7d51ce69703d33977c
"SVP / VP, Lead Data Scientist, Group Consumer Banking and Big Data Analytics Tech (180003Y7)",DBS BANK LTD.,,"Permanent, Full Time",Senior Management,Banking and Finance,"$9,500","$18,000",Monthly,"Roles & ResponsibilitiesJob Purpose The Lead Data Scientist manages a team of data scientists within Consumer Banking Group Technology, Big Data & Analytics Technology division to drive value for the business by leveraging machine learning.  He/ She will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc.  Also, he/she will be responsible to lead a team of ML engineers that will work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.   Responsibilities  Lead, guide, and manage the team of data scientists Overall accountable for the team’s delivery of data science projects that drive value for business Establish, apply and maintain best practices and principles of machine learning engineering. Manage and guide a team of ML engineers that work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges Manage and guide a team of experienced data scientists to drive projects and be accountable for the output of the team Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback Lead the presentation of key insights to management with actionable recommendations Manage the team to facilitate deployment of finalised solutions to production environment Oversee the ongoing monitoring of model performance, and the process of model retraining if necessary Requirements At least 5 years of industry experience in data science PhD or advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalent Prior experience managing teams of PhD-level data scientists preferred Excellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Highly proficient in data manipulation Strong expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a ‘can-do’ attitude Prior experience in banks not required but may be considered ",https://www.mycareersfuture.sg/job/svp-vp-lead-data-scientist-group-consumer-banking-big-data-analytics-tech-dbs-bank-1e58ca9d6b252e4547ae9c9c64bc7b6d
Lecturer - IT Applications Development,Institute of Technical Education,2 ANG MO KIO DRIVE 567720,Contract,Executive,"Education and Training, Public / Civil Service","$3,000","$6,000",Monthly,"Roles & ResponsibilitiesResponsibilities As a Lecturer, your contributions go beyond teaching and facilitating learning. You play a critical role in recognising and nurturing the many talents of your students. In addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and industry changes, as well as maintain strong linkages with partners in the industry and schools. You will also have the opportunity to be attached to industry on a regular basis to update your skills and knowledge. Those with good and relevant experience can look forward to Senior Lecturer or equivalent positions, with career development opportunities.Requirements  College Central  You should be trained in Information Technology, Computer Science or Software Engineering, with at least 3 years of relevant work experience in Web/Mobile applications development, Content Management System or IT related field. You should be competent with Adobe CC applications and have good programming skills in iOS programming (SWIFT), C#, PHP, HTML5, CSS, JavaScript, Python. Candidates with experience and/or IT certifications in areas of Data Analytics, Internet of Things (IoT), or Artificial Intelligence (AI) and Machine Learning (ML) will have an advantage College East You should be trained in Information Technology, Computer Science, Data Science and/or Analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing IoT/software applications, including data analytics solutions. You should possess relevant experience in one or more of the following areas: - development of IoT applications - data analytics technologies and Big Data - proficiency in programming languages such as Python, R or similar (familiarity with Python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",https://www.mycareersfuture.sg/job/lecturer-applications-development-institute-technical-education-b94141d17ac8e368f676354f9cbe7d01
APAC Data Engineer,UPS ASIA GROUP PTE. LTD.,"UPS HOUSE, 22 CHANGI SOUTH AVENUE 2 486064",Permanent,Senior Executive,Logistics / Supply Chain,"$5,256","$7,008",Monthly,"Roles & ResponsibilitiesSummary The Data Engineer will be responsible for expanding and optimizing the data and data pipeline architecture, data flow and collection for the Data Science team and creating API’s to integrate the models with production systems. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support the data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities:  Create and maintain optimal data pipeline architecture. Assemble large, complex data sets from multiple data sources that meet functional / nonfunctional business requirements. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and no SQL technologies. Develop data features that will serve as inputs to AI/Machine Learning/OR techniques. Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics. Develop data design based on exploratory data analysis to meet stated business need. Develop procedures to monitor model and production system performance/integrity. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Review and create repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling. Act as subject matter expert with investigating and evaluating emerging technologies. Articulate potential competitive market benefits of new technologies to senior management. Maintain broad understanding of implementation, integration, and interconnectivity issues with emerging technologies. RequirementsSkills and Qualifications  Possess a Bachelor’s Degree or Master’s Degree in Computer Science, Information Systems or related discipline. Minimum 2 years of relevant experience in similar capacity using software/tools for big data, SQL and NoSQL databases and object oriented/object function scripting languages. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with structured and unstructured datasets. A successful history of manipulating, processing and extracting value from large disconnected datasets. Possess solid project management and organizational skills. Prior experience in supporting and working with cross-functional teams in a dynamic environment. ",https://www.mycareersfuture.sg/job/apac-data-engineer-ups-asia-group-f570cad2f586ebfa9a8660768a61ee6c
"AVP  /  Senior Associate, Data Engineer, IBG Digital, Institutional Banking Group (1800044U)",DBS BANK LTD.,,"Permanent, Full Time","Manager, Senior Executive",Banking and Finance,"$5,500","$11,000",Monthly,"Roles & ResponsibilitiesJob Purpose  The Data Engineer will provide big data engineering support to the Institutional Banking Group (IBG) Business Analytics Team in various data science projects. This role’s primary job responsibility is defining the framework and process for preparing data for analytical uses. The right candidate will be one excited by the prospect of designing data engineering solutions from ground up and will support data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. Responsibilities  Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements; Identify, design, and implement internal process improvements: automating manual processes, Perform ETL/ELT, Data Modelling, Data Profiling, Data Cleansing, Feature Engineering tasks as part of Data Analytics Life Cycle (DALC); Work with stakeholders (data analysts, data scientists, technology support team) to assist with data-related technical issues and support data infrastructure needs; Build processes supporting data transformation, data structures, dependency and workload management Requirements Master’s Degree in software Engineering, Computer Science or related fields with minimum 3 years data engineering work experience in big data analytics environment Strong in data engineering skills with big data stack (Hadoop, Spark, Kafka, etc) Strong in transactional SQL, Enterprise Data Warehouse Experience with Graph Database, NoSQL databases Experience with Feature Engineering Experience with Master Data Management Experience with scripting languages: UNIX/Linux Shell, SQL, Python (Pandas, PySpark etc), Scala, R, etc ",https://www.mycareersfuture.sg/job/avp-senior-associate-data-engineer-ibg-digital-institutional-banking-group-dbs-bank-633ccd170a9d6b8f860c413b264c49ab
"SVP / VP, Senior Data Scientist, Data & Transformation, Technology and Operations (1800039X)",DBS BANK LTD.,,"Permanent, Full Time","Senior Management, Middle Management",Banking and Finance,"$9,500","$19,000",Monthly,"Roles & Responsibilities Drive enterprise strategy on testing and production deployment of machine learning and AI products  Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. Requirements Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,   Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills ",https://www.mycareersfuture.sg/job/svp-vp-senior-data-scientist-data-transformation-technology-operations-dbs-bank-af5fcadc3df9dce77d6b77d10a7c84c8
