Name_Console,Name,Platform,Publisher,Genre,Release_Year,Release_Month,First_Week,Total_Sales,Critic_Score,User_Score
.hack//G.U. Last Recode (PS4),.hack//G.U. Last Recode,PS4,Namco Bandai Games,Role-Playing,2017,11,86008.0,86008.0,N/A,N/A
.hack//Link (PSP),.hack//Link,PSP,Namco Bandai Games,Role-Playing,2010,3,63258.0,63258.0,N/A,N/A
1-2-Switch (NS),1-2-Switch,NS,Nintendo,Party,2017,3,195332.0,413302.0,4.9,N/A
2010 FIFA World Cup South Africa (PS3),2010 FIFA World Cup South Africa,PS3,Electronic Arts,Sports,2010,5,159986.0,481629.0,8.2,N/A
2010 FIFA World Cup South Africa (X360),2010 FIFA World Cup South Africa,X360,Electronic Arts,Sports,2010,5,106021.0,288574.0,8.4,N/A
2014 FIFA World Cup Brazil (PS3),2014 FIFA World Cup Brazil,PS3,Electronic Arts,Sports,2014,4,71704.0,229829.0,7.9,N/A
2014 FIFA World Cup Brazil (X360),2014 FIFA World Cup Brazil,X360,Electronic Arts,Sports,2014,4,58285.0,84430.0,7.3,N/A
3D Dot Game Heroes (PS3),3D Dot Game Heroes,PS3,Atlus,Role-Playing,2010,5,73619.0,172218.0,7.5,N/A
3rd Super Robot Wars Z Jigoku Hen (PS3),3rd Super Robot Wars Z Jigoku Hen,PS3,Namco Bandai Games,Role-Playing,2014,4,148008.0,179693.0,N/A,N/A
3rd Super Robot Wars Z Jigoku Hen (PSV),3rd Super Robot Wars Z Jigoku Hen,PSV,Namco Bandai Games,Role-Playing,2014,4,126941.0,126941.0,N/A,N/A
3rd Super Robot Wars Z: Tengoku-Hen (PS3),3rd Super Robot Wars Z: Tengoku-Hen,PS3,Namco Bandai Games,Action,2015,4,105540.0,105540.0,N/A,N/A
3rd Super Robot Wars Z: Tengoku-Hen (PSV),3rd Super Robot Wars Z: Tengoku-Hen,PSV,Namco Bandai Games,Action,2015,4,116398.0,116398.0,N/A,N/A
7 Days to Die (PS4),7 Days to Die,PS4,Telltale Games,Action,2016,7,36708.0,55749.0,N/A,N/A
7th Dragon (DS),7th Dragon,DS,Sega,Role-Playing,2009,3,80094.0,80094.0,N/A,N/A
7th Dragon 2020-II (PSP),7th Dragon 2020-II,PSP,Sega,Role-Playing,2013,4,74694.0,74694.0,N/A,N/A
7th Dragon III Code: VFD (3DS),7th Dragon III Code: VFD,3DS,Sega,Action,2015,10,72217.0,72217.0,N/A,N/A
